source_unit,depends_on_unit
INITP,common4
INITP,sysop2
INITP,myio
INITP,common1
INITP,common2
INITP,common3
INITP,records
INITP,common5
INITP,common
INITP,sys
INITP,wfcmenu
INITP,strProc
INITP,sysop8
INSTALL,records
INSTALL,crt
INSTALL,dos
ISLU,common
ISLU,common5
ISLU,strproc
LADLE,AsmSauce
LOGON1,Crt
LOGON1,Dos
LOGON1,common5
LOGON1,logon2
LOGON1,newusers
LOGON1,records
LOGON1,mail0
LOGON1,mail1
LOGON1,mail2
LOGON1,mail3
LOGON1,mail4
LOGON1,misc1
LOGON1,misc2
LOGON1,misc5
LOGON1,common4
LOGON1,cuser
LOGON1,common1
LOGON1,common2
LOGON1,common3
LOGON1,doors
LOGON1,scrlbk
LOGON1,strProc
LOGON1,menus
LOGON1,menus2
LOGON1,common
LOGON1,multinod
LOGON2,Crt
LOGON2,Dos
LOGON2,tmpcom
LOGON2,common5
LOGON2,records
LOGON2,mail0
LOGON2,mail1
LOGON2,mail2
LOGON2,mail3
LOGON2,mail4
LOGON2,mail9
LOGON2,misc1
LOGON2,misc2
LOGON2,misc5
LOGON2,common2
LOGON2,common4
LOGON2,cuser
LOGON2,common1
LOGON2,common3
LOGON2,doors
LOGON2,menus
LOGON2,common
LOGON2,nuv
LZHVIEW,Dos
LZHVIEW,Common
LZHVIEW,Crt
LZHVIEW,records
LZHVIEW,strProc
LZHVIEW,common2
LZHVIEW,sys
MAIL0,Crt
MAIL0,Dos
MAIL0,common5
MAIL0,records
MAIL0,common
MAIL0,timejunk
MAIL0,strproc
MAIL1,Crt
MAIL1,Dos
MAIL1,common1
MAIL1,common2
MAIL1,common3
MAIL1,common5
MAIL1,records
MAIL1,common
MAIL1,timejunk
MAIL1,strproc
MAIL2,Crt
MAIL2,Dos
MAIL2,common1
MAIL2,common2
MAIL2,common3
MAIL2,common5
MAIL2,records
MAIL2,common
MAIL2,timejunk
MAIL2,mail0
MAIL2,mail1
MAIL2,strproc
MAIL3,Crt
MAIL3,Dos
MAIL3,common1
MAIL3,common2
MAIL3,common3
MAIL3,records
MAIL3,scrlbk
MAIL3,common5
MAIL3,common
MAIL3,timejunk
MAIL3,mail0
MAIL3,strproc
MAIL3,sys
MAIL4,Crt
MAIL4,Dos
MAIL4,common5
MAIL4,common
MAIL4,timejunk
MAIL4,records
MAIL4,sysop3
MAIL4,common1
MAIL4,common2
MAIL4,common3
MAIL4,misc3
MAIL4,misc5
MAIL4,mail0
MAIL4,mail1
MAIL4,mail2
MAIL4,mail3
MAIL5,Crt
MAIL5,Dos
MAIL5,common5
MAIL5,records
MAIL5,common
MAIL5,timejunk
MAIL5,common1
MAIL5,common2
MAIL5,common3
MAIL5,mail0
MAIL5,mail1
MAIL5,mail2
MAIL5,mail3
MAIL5,mail4
MAIL5,mail6
MAIL6,Crt
MAIL6,Dos
MAIL6,common5
MAIL6,records
MAIL6,common
MAIL6,common1
MAIL6,common2
MAIL6,common3
MAIL6,mail0
MAIL6,mail3
MAIL6,mail9
MAIL6,msgpack
MAIL7,Crt
MAIL7,Dos
MAIL7,common1
MAIL7,common3
MAIL7,common5
MAIL7,records
MAIL7,strproc
MAIL7,common
MAIL7,common2
MAIL7,timejunk
MAIL7,mail0
MAIL7,mail5
MAIL7,file8
MAIL7,execbat
MAIL7,file2
MAIL9,Crt
MAIL9,Dos
MAIL9,common1
MAIL9,common2
MAIL9,common3
MAIL9,common5
MAIL9,records
MAIL9,common
MAIL9,timejunk
MAIL9,mail0
MAIL9,mail4
MAIL9,common4
MAIL9,sys
MAKECLEA,records
MENUS,Crt
MENUS,Dos
MENUS,Sysop3
MENUS,Script
MENUS,Rumors
MENUS,Sysop7
MENUS,Sysop8
MENUS,Sysop9
MENUS,Sysop2s
MENUS,Uconfig
MENUS,Sysop2
MENUS,Sysop11
MENUS,Mail0
MENUS,Mail1
MENUS,Mail2
MENUS,Mail3
MENUS,Mail4
MENUS,Mail6
MENUS,Mail9
MENUS,File0
MENUS,File1
MENUS,File2
MENUS,File4
MENUS,File5
MENUS,File6
MENUS,File8
MENUS,File9
MENUS,File10
MENUS,File11
MENUS,File12
MENUS,File13
MENUS,File14
MENUS,Misc1
MENUS,Common2
MENUS,Common3
MENUS,Misc2
MENUS,Misc3
MENUS,Misc4
MENUS,Misc5
MENUS,CUser
MENUS,Doors
MENUS,Menus3
MENUS,MyIO
MENUS,Common
MENUS,mail7
MENUS,multinod
MENUS,AnsiDrv
MENUS,Common1
MENUS,Mail5
MENUS,Conf
MENUS,Menus2
MENUS,Sysop1
MENUS,common4
MENUS,Common5
MENUS,Records
MENUS,cmd
MENUS,strProc
MENUS,output
MENUS,strProc2
MENUS,nuv
MENUS,timeBank
MENUS,impDos
MENUS2,Crt
MENUS2,Dos
MENUS2,common5
MENUS2,records
MENUS2,file4
MENUS2,Common1
MENUS2,Common2
MENUS2,Common3
MENUS2,common
MENUS2,strproc
MENUS3,Crt
MENUS3,Dos
MENUS3,file0
MENUS3,records
MENUS3,common
MENUS3,strproc
MENUS3,common1
MISC1,Crt
MISC1,Dos
MISC1,common1
MISC1,common2
MISC1,common3
MISC1,ansidrv
MISC1,common5
MISC1,common
MISC1,records
MISC2,Crt
MISC2,Dos
MISC2,common1
MISC2,common2
MISC2,common3
MISC2,common
MISC2,ansidrv
MISC2,common5
MISC2,records
MISC2,file2
MISC2,misc1
MISC2,sys
MISC3,Crt
MISC3,Dos
MISC3,common1
MISC3,common2
MISC3,common3
MISC3,common5
MISC3,common
MISC3,records
MISC4,Crt
MISC4,Dos
MISC4,common1
MISC4,common2
MISC4,common3
MISC4,records
MISC4,doors
MISC4,misc3
MISC4,common5
MISC4,common
MISC4,strproc
MISC5,Crt
MISC5,Dos
MISC5,common5
MISC5,common
MISC5,common1
MISC5,common2
MISC5,common3
MISC5,doors
MISC5,records
MISC5,misc1
MISC5,strProc
MMODEM,Crt
MMODEM,Dos
MMODEM,common
MMODEM,common5
MMODEM,tmpcom
MMODEM,records
MMODEM,myio
MNUCONV,records
MSGPACK,Crt
MSGPACK,Dos
MSGPACK,common
MSGPACK,records
MSGPACK,mail0
MSGPACK,strProc
MULTINOD,Crt
MULTINOD,Dos
MULTINOD,common1
MULTINOD,common2
MULTINOD,common3
MULTINOD,records
MULTINOD,common
MULTINOD,timejunk
MULTINOD,strproc
MULTINOD,common5
MYIO,Crt
MYIO,dos
NEWUSERS,Crt
NEWUSERS,Dos
NEWUSERS,uconfig
NEWUSERS,common5
NEWUSERS,mail0
NEWUSERS,mail1
NEWUSERS,mail2
NEWUSERS,mail3
NEWUSERS,misc2
NEWUSERS,misc3
NEWUSERS,misc4
NEWUSERS,misc5
NEWUSERS,records
NEWUSERS,cuser
NEWUSERS,common1
NEWUSERS,common2
NEWUSERS,common3
NEWUSERS,common
NEWUSERS,strProc
NUV,records
NUV,common
NUV,crt
NUV,common5
NUV,sysop3
NUV,common3
NUV,sys
NUV,misc4
NUV,common2
NUV,menus
NUV,menus2
OUTPUT,common
OUTPUT,common1
OUTPUT,common2
OUTPUT,common5
